Loja,Produto,Categoria,Data,Quantidade,Valor Unitário Médio,Total
Restaurante Bodogami,ICED TWIX,CAFE CLASSICOS,17/09/2022,1,"R$18,00","R$18,00"
Restaurante Bodogami,AGUA TONICA,BEBIDAS,19/12/2021,2,"R$7,00","R$14,00"
Restaurante Bodogami,SUCO DE LARANJA,BEBIDAS,22/01/2022,7,"R$9,00","R$63,00"
Restaurante Bodogami,BATIDO MACA CANELA,CAFE AUTORAIS,05/05/2021,1,"R$9,00","R$9,00"
Restaurante Bodogami,FADA INSENSATA,DRINKS ALCOOLICOS,05/03/2023,1,"R$32,00","R$32,00"
Restaurante Bodogami,ZEN MASTER,DRINKS ALCOOLICOS,29/01/2022,7,"R$20,00","R$140,00"
Restaurante Bodogami,CHAI LATTE,CAFE CLASSICOS,18/08/2022,1,"R$12,00","R$12,00"
Restaurante Bodogami,FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,25/01/2022,1,"R$21,00","R$21,00"
Restaurante Bodogami,PINK LEMONADE,DRINKS NAO ALCOOLICOS,09/05/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,AGUA MINERAL,BEBIDAS,21/03/2023,12,"R$6,00","R$72,00"
Restaurante Bodogami,COCA COLA LATA DIET 350ML,BEBIDAS,05/02/2021,1,"R$7,00","R$7,00"
Restaurante Bodogami,FRAPPE LEITINHO E NUTELLA,CAFE AUTORAIS,06/09/2022,3,"R$25,00","R$75,00"
Restaurante Bodogami,GRANDE ICED AMERICANO,CAFE CLASSICOS,13/11/2022,3,"R$9,00","R$27,00"
